date,T2M,RH2M,WS2M,WD2M,ALLSKY_KT,GWETTOP,EVLAND,PS,PRECIPITATIONCAL,MEI,PC1,PC2,amplitude
01-01-2015,25.91,52.62,1.18,118.75,0.52,0.2,0.97,97.99,0.03,0.23,-1.40015,0.96675,1.70148
02-01-2015,25.3,60.81,2,138.69,0.47,0.26,3.74,98.31,0,0.23,-1.74316,1.00767,2.01346
03-01-2015,23.36,79.56,2.67,225.12,0.24,0.55,25.74,98.46,24.49,0.23,-2.03657,1.0299,2.28217
04-01-2015,22.07,73.75,2.25,193.5,0.41,0.59,20.99,98.62,0,0.23,-2.26712,1.02739,2.48905
05-01-2015,20.24,62.62,2.44,12.06,0.65,0.54,17.25,98.64,0,0.23,-2.42346,0.99678,2.62044
06-01-2015,18.73,51.25,1.7,15.12,0.72,0.53,17.32,98.61,0,0.23,-2.49694,0.93809,2.66735
07-01-2015,19.46,47.94,1.27,125,0.7,0.52,17.71,98.49,0,0.23,-2.48277,0.85432,2.62565
08-01-2015,18.79,48,1.42,123.81,0.7,0.52,17.23,98.6,0.28,0.23,-2.38097,0.74982,2.49625
09-01-2015,17.43,51,1.88,98.94,0.72,0.52,15.42,98.78,0,0.23,-2.19706,0.62845,2.28518
10-01-2015,17.51,48.75,1.45,18.44,0.73,0.51,14.59,98.79,0,0.23,-1.94189,0.49255,2.00338
11-01-2015,17.44,47.12,1.8,43.69,0.71,0.5,14.31,98.77,0,0.23,-1.63086,0.34295,1.66653
12-01-2015,18.11,46,1.34,44.5,0.72,0.49,13.03,98.7,0,0.23,-1.28264,0.18002,1.29521
13-01-2015,18.61,44.62,1.34,33.56,0.7,0.48,12.15,98.59,0,0.23,-0.91755,0.0048,0.91756
14-01-2015,19.73,43.19,1.21,92.62,0.69,0.47,12.28,98.52,0,0.23,-0.556,-0.18001,0.58441
15-01-2015,19.71,51.75,1.48,86.25,0.62,0.45,10.67,98.58,0,0.23,-0.21689,-0.36973,0.42865
16-01-2015,19.58,44.75,1.34,70.25,0.67,0.44,10.76,98.62,0,0.23,0.08367,-0.55798,0.56422
17-01-2015,19.19,45.5,1.37,40,0.66,0.41,9.13,98.68,0,0.23,0.3333,-0.73739,0.80921
18-01-2015,19.33,47.94,1.38,37.75,0.66,0.4,7.91,98.7,0,0.23,0.52395,-0.90049,1.04183
19-01-2015,19.44,44.88,1.39,61.56,0.64,0.38,6.99,98.65,0,0.23,0.65201,-1.0407,1.22808
20-01-2015,20.48,49.38,1.75,110.12,0.55,0.37,5.42,98.76,0,0.23,0.71811,-1.153,1.35834
21-01-2015,21.66,54.25,2.31,129.25,0.53,0.36,4.46,98.93,0,0.23,0.72672,-1.23433,1.43237
22-01-2015,21.84,48.69,2.23,151.69,0.6,0.35,4.48,98.87,0,0.23,0.68555,-1.28368,1.45527
23-01-2015,22.22,48.69,1.66,117.38,0.63,0.34,4.4,98.64,0,0.23,0.60477,-1.30201,1.43561
24-01-2015,23.25,47.44,1.58,104.25,0.64,0.33,4.2,98.66,0,0.23,0.49626,-1.29195,1.38398
25-01-2015,23.44,46.94,2.06,148.75,0.63,0.31,3.37,98.75,0.02,0.23,0.37272,-1.25762,1.31169
26-01-2015,23.5,48.5,2.34,151.31,0.59,0.3,3.38,98.65,0.18,0.23,0.24675,-1.20429,1.22931
27-01-2015,23.56,48.19,1.98,145.44,0.65,0.3,2.99,98.54,0,0.23,0.13,-1.13811,1.14551
28-01-2015,23.75,50.12,1.99,138,0.64,0.29,2.68,98.41,0,0.23,0.03252,-1.06556,1.06605
29-01-2015,23.93,54.69,1.62,115.94,0.6,0.28,2.43,98.51,0,0.23,-0.03772,-0.99291,0.99363
30-01-2015,23.41,48.44,1.66,62.56,0.56,0.27,2.02,98.71,0,0.23,-0.07499,-0.92541,0.92845
31-01-2015,23.04,39.56,1.69,35.56,0.62,0.27,2.58,98.72,0,0.23,-0.0757,-0.86633,0.86963
01-02-2015,22.46,29.94,1.32,79.06,0.64,0.26,2.58,98.68,0,0.05,-0.03819,-0.81593,0.81682
02-02-2015,23.18,47.44,2.2,134.25,0.55,0.25,1.38,98.74,0,0.05,0.0372,-0.77046,0.77136
03-02-2015,24.08,51,2,138.06,0.6,0.25,1.41,98.98,0,0.05,0.14715,-0.72167,0.73652
04-02-2015,24.48,39.25,1.41,108.56,0.66,0.24,1.7,98.88,0,0.05,0.28314,-0.65822,0.71653
05-02-2015,24.19,34.25,1.35,118.44,0.64,0.23,1.62,98.71,0,0.05,0.43011,-0.57089,0.71478
06-02-2015,24.01,39.38,1.66,146,0.63,0.23,1.26,98.67,0.23,0.05,0.57035,-0.45879,0.73198
07-02-2015,23.91,45.19,2.27,154.94,0.58,0.23,0.94,98.6,0.04,0.05,0.6913,-0.32943,0.76578
08-02-2015,24.81,50.75,2.55,161.25,0.59,0.23,0.78,98.52,0.05,0.05,0.78879,-0.19255,0.81195
09-02-2015,24.96,44.44,2.2,116.62,0.63,0.22,0.8,98.6,0.02,0.05,0.86415,-0.05555,0.86593
10-02-2015,24.77,47.75,1.62,106.5,0.62,0.22,0.74,98.71,0.04,0.05,0.92066,0.07677,0.92385
11-02-2015,25.58,47.25,1.41,130,0.6,0.22,1.3,98.57,0.15,0.05,0.96186,0.20084,0.98261
12-02-2015,25.8,44.12,1.79,168.88,0.64,0.21,1.16,98.44,0.15,0.05,0.99111,0.31339,1.03947
13-02-2015,25.71,36.19,1.45,214.5,0.64,0.21,1.22,98.36,0,0.05,1.01134,0.41103,1.09167
14-02-2015,25.19,25.06,1.65,24.94,0.67,0.2,1.4,98.34,0,0.05,1.02492,0.49041,1.13621
15-02-2015,26.96,19.31,1,64.69,0.7,0.2,1.53,98.3,0,0.05,1.03339,0.54868,1.17002
16-02-2015,26.98,19.25,1.02,80.62,0.69,0.2,1.34,98.41,0,0.05,1.03734,0.58411,1.19049
17-02-2015,27.25,19.62,1.16,99.81,0.7,0.19,1.3,98.3,0,0.05,1.03637,0.59684,1.19594
18-02-2015,26.84,28,1.57,203.12,0.66,0.18,0.99,98.17,0,0.05,1.02925,0.5896,1.18617
19-02-2015,26.59,44.62,2.16,166.31,0.62,0.18,0.67,98.26,0.06,0.05,1.01413,0.56841,1.16257
20-02-2015,27.51,40.62,2.01,143.62,0.57,0.18,1.16,98.36,0.39,0.05,0.98859,0.54315,1.12798
21-02-2015,28.2,31.06,1.28,73.25,0.61,0.18,0.86,98.43,0,0.05,0.9492,0.5278,1.08608
22-02-2015,27.76,24.88,1.61,48.75,0.68,0.18,0.88,98.46,0,0.05,0.89034,0.53847,1.04051
23-02-2015,27.91,25.06,1.28,124.94,0.69,0.17,0.8,98.46,0,0.05,0.80477,0.58366,0.99414
24-02-2015,27.59,28.19,1.32,153,0.68,0.17,0.81,98.31,0,0.05,0.69399,0.64698,0.9488
25-02-2015,27.31,27.81,1.62,158.38,0.68,0.16,0.85,98.13,0,0.05,0.57675,0.69879,0.90606
26-02-2015,27.72,23.5,2.75,182,0.68,0.16,0.8,97.99,0,0.05,0.4653,0.73393,0.869
27-02-2015,27.13,29.88,2.36,192.56,0.68,0.16,0.69,98.04,0,0.05,0.3537,0.76671,0.84437
28-02-2015,27.71,43.69,3.46,172.75,0.57,0.16,1.33,98.1,0.83,0.05,0.23229,0.81092,0.84353
01-03-2015,27.48,49.88,4.08,163.81,0.26,0.28,7.35,98.15,3.07,0.13,0.12635,0.86945,0.87859
02-03-2015,26.22,65.94,2.53,167.69,0.45,0.48,21.5,98.31,0.9,0.13,-0.01233,0.96283,0.96291
03-03-2015,26.06,59.5,1.85,201.5,0.48,0.48,17.9,98.26,0,0.13,-0.16228,1.07969,1.09181
04-03-2015,24.19,41.75,2.26,253.44,0.67,0.42,15.26,98.32,0,0.13,-0.31859,1.21315,1.25429
05-03-2015,25.76,37.12,1.49,40.12,0.64,0.38,12,98.4,0,0.13,-0.47681,1.353,1.43456
