date,T2M,RH2M,WS2M,WD2M,ALLSKY_KT,GWETTOP,EVLAND,PS,PRECIPITATIONCAL,MEI,PC1,PC2,amplitude
01-01-2015,25.68,52.88,1.06,140.12,0.52,0.19,0.96,97.37,0,0.23,-1.40015,0.96675,1.70148
02-01-2015,25.09,62.19,2.21,147.06,0.47,0.22,2.6,97.7,0,0.23,-1.74316,1.00767,2.01346
03-01-2015,23.91,76.31,3.16,225.75,0.24,0.41,19.49,97.84,21.73,0.23,-2.03657,1.0299,2.28217
04-01-2015,22.23,72.31,2.39,163.69,0.41,0.49,17.5,98,0,0.23,-2.26712,1.02739,2.48905
05-01-2015,20.85,60.5,2.64,11.81,0.65,0.45,12.84,98,0,0.23,-2.42346,0.99678,2.62044
06-01-2015,19.36,45.88,1.96,13.81,0.72,0.42,12.58,97.98,0,0.23,-2.49694,0.93809,2.66735
07-01-2015,20.11,41.12,1.48,139.56,0.7,0.4,12.27,97.86,0,0.23,-2.48277,0.85432,2.62565
08-01-2015,19.53,40.75,1.59,82.75,0.7,0.38,10.9,97.96,0,0.23,-2.38097,0.74982,2.49625
09-01-2015,18.36,42,2.2,98.44,0.72,0.37,8.97,98.14,0,0.23,-2.19706,0.62845,2.28518
10-01-2015,18.16,40.62,1.71,20.12,0.73,0.35,8.29,98.15,0,0.23,-1.94189,0.49255,2.00338
11-01-2015,18.18,38.81,2.09,43.56,0.71,0.34,7.36,98.14,0,0.23,-1.63086,0.34295,1.66653
12-01-2015,18.86,38.94,1.52,51.25,0.72,0.33,6.67,98.07,0,0.23,-1.28264,0.18002,1.29521
13-01-2015,19.29,36.44,1.5,43.38,0.7,0.31,5.9,97.96,0,0.23,-0.91755,0.0048,0.91756
14-01-2015,20.62,38.25,1.3,108.5,0.69,0.3,5.25,97.9,0,0.23,-0.556,-0.18001,0.58441
15-01-2015,20.51,52.31,1.55,96.44,0.62,0.3,3.99,97.95,0,0.23,-0.21689,-0.36973,0.42865
16-01-2015,20.58,37.06,1.34,76.44,0.67,0.28,4.46,97.98,0,0.23,0.08367,-0.55798,0.56422
17-01-2015,20,37,1.52,46.44,0.66,0.27,3.57,98.04,0,0.23,0.3333,-0.73739,0.80921
