date,T2M,RH2M,WS2M,WD2M,ALLSKY_KT,GWETTOP,EVLAND,PS,PRECIPITATIONCAL,MEI,PC1,PC2,amplitude
01-01-2015,25.87,55.19,1.6,191.44,0.6,0.27,3.55,98.53,0.01,0.23,-1.40015,0.96675,1.70148
02-01-2015,25.58,66.88,2.1,141.31,0.41,0.26,2.82,98.89,0,0.23,-1.74316,1.00767,2.01346
03-01-2015,25.63,71.69,2.37,199.56,0.48,0.32,11.61,99.02,0,0.23,-2.03657,1.0299,2.28217
04-01-2015,24.32,67.44,2.31,317.44,0.49,0.41,14.03,99.13,0,0.23,-2.26712,1.02739,2.48905
05-01-2015,23.01,57.19,3.02,80.62,0.64,0.38,8.85,99.11,0,0.23,-2.42346,0.99678,2.62044
06-01-2015,21.47,41.19,2.14,97.06,0.67,0.35,8.51,99.11,0,0.23,-2.49694,0.93809,2.66735
07-01-2015,21.53,36.75,1.69,112.94,0.67,0.33,7.26,99.02,0,0.23,-2.48277,0.85432,2.62565
08-01-2015,21.47,33.5,1.69,117.81,0.7,0.3,6,99.1,0,0.23,-2.38097,0.74982,2.49625
09-01-2015,20.42,35.88,2.45,52.5,0.7,0.29,4.34,99.26,0,0.23,-2.19706,0.62845,2.28518
10-01-2015,20.02,35.38,1.88,50.56,0.7,0.27,3.87,99.29,0,0.23,-1.94189,0.49255,2.00338
11-01-2015,19.94,34.88,1.93,25.62,0.7,0.27,3.13,99.27,0,0.23,-1.63086,0.34295,1.66653
12-01-2015,20.37,39.62,1.34,55.5,0.7,0.25,2.59,99.21,0,0.23,-1.28264,0.18002,1.29521
13-01-2015,21.08,38.12,1.1,53.38,0.67,0.24,2.38,99.11,0,0.23,-0.91755,0.0048,0.91756
14-01-2015,21.93,53.12,1.22,131.19,0.66,0.24,1.62,99.08,0,0.23,-0.556,-0.18001,0.58441
15-01-2015,22.15,54.44,1.3,91.62,0.59,0.23,1.56,99.11,0,0.23,-0.21689,-0.36973,0.42865
16-01-2015,22.27,45.31,1.1,72.31,0.63,0.23,1.76,99.16,0,0.23,0.08367,-0.55798,0.56422
17-01-2015,21.49,35.75,1.53,44.12,0.64,0.22,1.72,99.2,0,0.23,0.3333,-0.73739,0.80921
18-01-2015,21.54,36.88,1.76,38,0.66,0.22,1.56,99.23,0,0.23,0.52395,-0.90049,1.04183
19-01-2015,21.55,41.75,1.23,73.81,0.66,0.21,1.22,99.18,0,0.23,0.65201,-1.0407,1.22808
20-01-2015,21.95,56.5,1.81,130.19,0.63,0.21,0.84,99.34,0,0.23,0.71811,-1.153,1.35834
21-01-2015,22.28,53.88,2.48,128.94,0.6,0.2,0.81,99.52,0,0.23,0.72672,-1.23433,1.43237
22-01-2015,21.96,48.31,1.82,142.44,0.64,0.2,0.91,99.46,0,0.23,0.68555,-1.28368,1.45527
23-01-2015,22.48,54.5,1.65,134.69,0.65,0.2,0.94,99.22,0,0.23,0.60477,-1.30201,1.43561
24-01-2015,23.32,55.88,1.67,135.81,0.63,0.2,0.88,99.24,0,0.23,0.49626,-1.29195,1.38398
25-01-2015,23.17,56.94,1.71,139.31,0.63,0.2,0.6,99.34,0,0.23,0.37272,-1.25762,1.31169
26-01-2015,23.58,57.38,1.97,150.06,0.61,0.2,0.69,99.26,0,0.23,0.24675,-1.20429,1.22931
27-01-2015,23.62,55.5,1.75,146.69,0.64,0.19,0.67,99.14,0,0.23,0.13,-1.13811,1.14551
28-01-2015,23.98,61.38,2.03,147.88,0.63,0.19,0.55,99.01,0,0.23,0.03252,-1.06556,1.06605
29-01-2015,25.01,58.06,1.33,116.5,0.61,0.19,0.58,99.08,0,0.23,-0.03772,-0.99291,0.99363
30-01-2015,24.98,54.81,1.4,69.69,0.59,0.18,0.65,99.23,0,0.23,-0.07499,-0.92541,0.92845
31-01-2015,24.8,46.5,1.19,73.06,0.59,0.18,0.62,99.25,0,0.23,-0.0757,-0.86633,0.86963
01-02-2015,24.56,53.88,1.09,114.94,0.61,0.18,0.62,99.23,0,0.05,-0.03819,-0.81593,0.81682
02-02-2015,24.76,59.5,2.52,138,0.58,0.18,0.42,99.34,0,0.05,0.0372,-0.77046,0.77136
03-02-2015,23.9,53.19,1.81,128.06,0.65,0.17,0.51,99.55,0,0.05,0.14715,-0.72167,0.73652
04-02-2015,23.99,50.12,1.48,136.56,0.67,0.17,0.64,99.45,0,0.05,0.28314,-0.65822,0.71653
05-02-2015,24.13,47.06,1.47,138.69,0.66,0.17,0.72,99.28,0,0.05,0.43011,-0.57089,0.71478
06-02-2015,23.63,53.19,1.62,134,0.63,0.16,0.46,99.26,0,0.05,0.57035,-0.45879,0.73198
07-02-2015,23.55,57.5,1.83,141.81,0.59,0.16,0.21,99.2,0,0.05,0.6913,-0.32943,0.76578
08-02-2015,24.51,55.81,2.26,156.44,0.6,0.16,0.17,99.14,0,0.05,0.78879,-0.19255,0.81195
09-02-2015,25.38,50.94,2.27,135.44,0.62,0.16,0.38,99.17,0,0.05,0.86415,-0.05555,0.86593
10-02-2015,25.33,54.12,1.84,116.81,0.59,0.16,0.33,99.26,0,0.05,0.92066,0.07677,0.92385
11-02-2015,25.56,54.12,1.62,135.94,0.59,0.16,0.39,99.15,0,0.05,0.96186,0.20084,0.98261
12-02-2015,25.57,52.19,1.68,175.19,0.65,0.16,0.56,99.05,0,0.05,0.99111,0.31339,1.03947
13-02-2015,26.09,51.5,1.4,187.25,0.63,0.16,0.52,98.94,0,0.05,1.01134,0.41103,1.09167
14-02-2015,26.43,35.06,1.13,103.06,0.65,0.16,0.71,98.87,0,0.05,1.02492,0.49041,1.13621
15-02-2015,27.4,26.81,0.61,117.06,0.7,0.16,0.91,98.86,0,0.05,1.03339,0.54868,1.17002
16-02-2015,26.58,43.38,1,118.94,0.67,0.15,0.64,98.97,0,0.05,1.03734,0.58411,1.19049
17-02-2015,26.65,44.06,1.23,130.69,0.69,0.15,0.68,98.88,0,0.05,1.03637,0.59684,1.19594
18-02-2015,26.27,51.44,2.35,187,0.66,0.15,0.47,98.8,0,0.05,1.02925,0.5896,1.18617
19-02-2015,26.81,53.62,2.29,169.75,0.63,0.15,0.33,98.87,0,0.05,1.01413,0.56841,1.16257
20-02-2015,27.19,50,1.82,165.38,0.6,0.15,0.68,98.95,0,0.05,0.98859,0.54315,1.12798
21-02-2015,27.48,42.5,1.2,100.81,0.62,0.14,0.44,98.99,0,0.05,0.9492,0.5278,1.08608
22-02-2015,27.6,35.81,1.17,114.94,0.65,0.14,0.52,99.02,0,0.05,0.89034,0.53847,1.04051
23-02-2015,27.07,37.19,1.48,168.88,0.67,0.14,0.48,99.04,0,0.05,0.80477,0.58366,0.99414
24-02-2015,26.83,39.75,1.62,178.31,0.68,0.14,0.51,98.91,0,0.05,0.69399,0.64698,0.9488
25-02-2015,26.66,40.25,1.52,191.38,0.67,0.14,0.48,98.75,0,0.05,0.57675,0.69879,0.90606
26-02-2015,26.55,36.81,2.52,179.25,0.7,0.13,0.51,98.63,0,0.05,0.4653,0.73393,0.869
27-02-2015,26.23,45.19,2.2,179.06,0.68,0.13,0.42,98.68,0,0.05,0.3537,0.76671,0.84437
28-02-2015,27.15,53.88,3.54,159.44,0.6,0.13,0.19,98.73,0.67,0.05,0.23229,0.81092,0.84353
01-03-2015,26.89,57.38,4.21,159.44,0.51,0.13,0.71,98.79,0.26,0.13,0.12635,0.86945,0.87859
02-03-2015,26.68,66.62,2.46,176.38,0.38,0.2,2.86,98.88,0,0.13,-0.01233,0.96283,0.96291
03-03-2015,28.37,56.19,1.57,180,0.52,0.23,2.04,98.79,1.2,0.13,-0.16228,1.07969,1.09181
04-03-2015,27.23,37.69,1.82,250.44,0.51,0.22,2.66,98.83,0,0.13,-0.31859,1.21315,1.25429
05-03-2015,28.24,33.94,1.09,97.5,0.59,0.2,2.43,98.92,0,0.13,-0.47681,1.353,1.43456
06-03-2015,29.4,50.69,1.47,158.81,0.41,0.2,1.39,99.03,1.4,0.13,-0.63392,1.48645,1.61598
07-03-2015,29.63,49.19,1.82,173.94,0.56,0.2,1.34,98.97,0,0.13,-0.78881,1.59916,1.78313
08-03-2015,29.25,52.56,2.32,162.25,0.57,0.22,4.86,99.01,0,0.13,-0.94254,1.67623,1.92305
